event_id,event_family,release_name,release_time_local,release_timezone,release_time_utc,scheduled_or_unscheduled,official_source,source_retrieval_date,calendar_version,priority
20230106_NFP,NFP,Employment Situation,2023-01-06T08:30:00-05:00,America/New_York,2023-01-06T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20230203_NFP,NFP,Employment Situation,2023-02-03T08:30:00-05:00,America/New_York,2023-02-03T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20230310_NFP,NFP,Employment Situation,2023-03-10T08:30:00-05:00,America/New_York,2023-03-10T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20230407_NFP,NFP,Employment Situation,2023-04-07T08:30:00-04:00,America/New_York,2023-04-07T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20230505_NFP,NFP,Employment Situation,2023-05-05T08:30:00-04:00,America/New_York,2023-05-05T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20230602_NFP,NFP,Employment Situation,2023-06-02T08:30:00-04:00,America/New_York,2023-06-02T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20230707_NFP,NFP,Employment Situation,2023-07-07T08:30:00-04:00,America/New_York,2023-07-07T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20230804_NFP,NFP,Employment Situation,2023-08-04T08:30:00-04:00,America/New_York,2023-08-04T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20230901_NFP,NFP,Employment Situation,2023-09-01T08:30:00-04:00,America/New_York,2023-09-01T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20231006_NFP,NFP,Employment Situation,2023-10-06T08:30:00-04:00,America/New_York,2023-10-06T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20231103_NFP,NFP,Employment Situation,2023-11-03T08:30:00-04:00,America/New_York,2023-11-03T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20231208_NFP,NFP,Employment Situation,2023-12-08T08:30:00-05:00,America/New_York,2023-12-08T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,20
20230112_CPI,CPI,Consumer Price Index,2023-01-12T08:30:00-05:00,America/New_York,2023-01-12T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20230214_CPI,CPI,Consumer Price Index,2023-02-14T08:30:00-05:00,America/New_York,2023-02-14T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20230314_CPI,CPI,Consumer Price Index,2023-03-14T08:30:00-04:00,America/New_York,2023-03-14T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20230412_CPI,CPI,Consumer Price Index,2023-04-12T08:30:00-04:00,America/New_York,2023-04-12T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20230510_CPI,CPI,Consumer Price Index,2023-05-10T08:30:00-04:00,America/New_York,2023-05-10T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20230613_CPI,CPI,Consumer Price Index,2023-06-13T08:30:00-04:00,America/New_York,2023-06-13T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20230712_CPI,CPI,Consumer Price Index,2023-07-12T08:30:00-04:00,America/New_York,2023-07-12T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20230810_CPI,CPI,Consumer Price Index,2023-08-10T08:30:00-04:00,America/New_York,2023-08-10T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20230913_CPI,CPI,Consumer Price Index,2023-09-13T08:30:00-04:00,America/New_York,2023-09-13T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
