event_id,event_family,release_name,release_time_local,release_timezone,release_time_utc,scheduled_or_unscheduled,official_source,source_retrieval_date,calendar_version,priority
20231012_CPI,CPI,Consumer Price Index,2023-10-12T08:30:00-04:00,America/New_York,2023-10-12T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20231114_CPI,CPI,Consumer Price Index,2023-11-14T08:30:00-05:00,America/New_York,2023-11-14T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20231212_CPI,CPI,Consumer Price Index,2023-12-12T08:30:00-05:00,America/New_York,2023-12-12T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,30
20230118_PPI,PPI,Producer Price Index,2023-01-18T08:30:00-05:00,America/New_York,2023-01-18T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20230216_PPI,PPI,Producer Price Index,2023-02-16T08:30:00-05:00,America/New_York,2023-02-16T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20230315_PPI,PPI,Producer Price Index,2023-03-15T08:30:00-04:00,America/New_York,2023-03-15T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20230413_PPI,PPI,Producer Price Index,2023-04-13T08:30:00-04:00,America/New_York,2023-04-13T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20230511_PPI,PPI,Producer Price Index,2023-05-11T08:30:00-04:00,America/New_York,2023-05-11T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20230614_PPI,PPI,Producer Price Index,2023-06-14T08:30:00-04:00,America/New_York,2023-06-14T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20230713_PPI,PPI,Producer Price Index,2023-07-13T08:30:00-04:00,America/New_York,2023-07-13T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20230811_PPI,PPI,Producer Price Index,2023-08-11T08:30:00-04:00,America/New_York,2023-08-11T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20230914_PPI,PPI,Producer Price Index,2023-09-14T08:30:00-04:00,America/New_York,2023-09-14T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20231011_PPI,PPI,Producer Price Index,2023-10-11T08:30:00-04:00,America/New_York,2023-10-11T12:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20231115_PPI,PPI,Producer Price Index,2023-11-15T08:30:00-05:00,America/New_York,2023-11-15T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20231213_PPI,PPI,Producer Price Index,2023-12-13T08:30:00-05:00,America/New_York,2023-12-13T13:30:00Z,scheduled,https://www.bls.gov/schedule/2023/home.htm,2026-07-25,2023_v1,40
20230118_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-01-18T08:30:00-05:00,America/New_York,2023-01-18T13:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20230215_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-02-15T08:30:00-05:00,America/New_York,2023-02-15T13:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20230315_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-03-15T08:30:00-04:00,America/New_York,2023-03-15T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20230414_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-04-14T08:30:00-04:00,America/New_York,2023-04-14T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20230516_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-05-16T08:30:00-04:00,America/New_York,2023-05-16T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20230615_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-06-15T08:30:00-04:00,America/New_York,2023-06-15T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20230718_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-07-18T08:30:00-04:00,America/New_York,2023-07-18T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20230815_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-08-15T08:30:00-04:00,America/New_York,2023-08-15T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20230914_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-09-14T08:30:00-04:00,America/New_York,2023-09-14T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20231017_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-10-17T08:30:00-04:00,America/New_York,2023-10-17T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20231115_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-11-15T08:30:00-05:00,America/New_York,2023-11-15T13:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20231214_RETAIL,RETAIL_SALES,Advance Retail and Food Services Sales,2023-12-14T08:30:00-05:00,America/New_York,2023-12-14T13:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,60
20230126_GDP,GDP_ADVANCE,GDP Advance Estimate,2023-01-26T08:30:00-05:00,America/New_York,2023-01-26T13:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,50
20230427_GDP,GDP_ADVANCE,GDP Advance Estimate,2023-04-27T08:30:00-04:00,America/New_York,2023-04-27T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,50
20230727_GDP,GDP_ADVANCE,GDP Advance Estimate,2023-07-27T08:30:00-04:00,America/New_York,2023-07-27T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,50
20231026_GDP,GDP_ADVANCE,GDP Advance Estimate,2023-10-26T08:30:00-04:00,America/New_York,2023-10-26T12:30:00Z,scheduled,https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2023.pdf,2026-07-25,2023_v1,50
20230201_FOMC,FOMC,FOMC Policy Statement,2023-02-01T14:00:00-05:00,America/New_York,2023-02-01T19:00:00Z,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,2026-07-25,2023_v1,10
20230322_FOMC,FOMC,FOMC Policy Statement,2023-03-22T14:00:00-04:00,America/New_York,2023-03-22T18:00:00Z,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,2026-07-25,2023_v1,10
20230503_FOMC,FOMC,FOMC Policy Statement,2023-05-03T14:00:00-04:00,America/New_York,2023-05-03T18:00:00Z,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,2026-07-25,2023_v1,10
20230614_FOMC,FOMC,FOMC Policy Statement,2023-06-14T14:00:00-04:00,America/New_York,2023-06-14T18:00:00Z,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,2026-07-25,2023_v1,10
20230726_FOMC,FOMC,FOMC Policy Statement,2023-07-26T14:00:00-04:00,America/New_York,2023-07-26T18:00:00Z,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,2026-07-25,2023_v1,10
20230920_FOMC,FOMC,FOMC Policy Statement,2023-09-20T14:00:00-04:00,America/New_York,2023-09-20T18:00:00Z,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,2026-07-25,2023_v1,10
20231101_FOMC,FOMC,FOMC Policy Statement,2023-11-01T14:00:00-04:00,America/New_York,2023-11-01T18:00:00Z,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,2026-07-25,2023_v1,10
20231213_FOMC,FOMC,FOMC Policy Statement,2023-12-13T14:00:00-05:00,America/New_York,2023-12-13T19:00:00Z,scheduled,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,2026-07-25,2023_v1,10
20230104_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-01-04T10:00:00-05:00,America/New_York,2023-01-04T15:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20230201_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-02-01T10:00:00-05:00,America/New_York,2023-02-01T15:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20230301_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-03-01T10:00:00-05:00,America/New_York,2023-03-01T15:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20230403_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-04-03T10:00:00-04:00,America/New_York,2023-04-03T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20230501_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-05-01T10:00:00-04:00,America/New_York,2023-05-01T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20230601_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-06-01T10:00:00-04:00,America/New_York,2023-06-01T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20230703_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-07-03T10:00:00-04:00,America/New_York,2023-07-03T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20230801_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-08-01T10:00:00-04:00,America/New_York,2023-08-01T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20230901_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-09-01T10:00:00-04:00,America/New_York,2023-09-01T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20231002_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-10-02T10:00:00-04:00,America/New_York,2023-10-02T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20231101_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-11-01T10:00:00-04:00,America/New_York,2023-11-01T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20231201_ISM_MFG,ISM_MANUFACTURING,ISM Manufacturing PMI,2023-12-01T10:00:00-05:00,America/New_York,2023-12-01T15:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,70
20230106_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-01-06T10:00:00-05:00,America/New_York,2023-01-06T15:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20230203_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-02-03T10:00:00-05:00,America/New_York,2023-02-03T15:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20230303_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-03-03T10:00:00-05:00,America/New_York,2023-03-03T15:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20230405_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-04-05T10:00:00-04:00,America/New_York,2023-04-05T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20230503_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-05-03T10:00:00-04:00,America/New_York,2023-05-03T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20230605_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-06-05T10:00:00-04:00,America/New_York,2023-06-05T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20230706_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-07-06T10:00:00-04:00,America/New_York,2023-07-06T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20230803_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-08-03T10:00:00-04:00,America/New_York,2023-08-03T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20230906_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-09-06T10:00:00-04:00,America/New_York,2023-09-06T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20231004_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-10-04T10:00:00-04:00,America/New_York,2023-10-04T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20231103_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-11-03T10:00:00-04:00,America/New_York,2023-11-03T14:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
20231205_ISM_SERVICES,ISM_SERVICES,ISM Services PMI,2023-12-05T10:00:00-05:00,America/New_York,2023-12-05T15:00:00Z,scheduled,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,2026-07-25,2023_v1,80
